x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22
124.10101010101009,0.9209700368527916,126.03030303030303,0.9377054416369736,125.20202020202021,0.9332545710915723,125.20202020202021,0.9100929993157026
126.17171717171716,0.92059418875389,128.15151515151513,0.9046803275890813,127.34343434343434,0.9430297130390469,127.34343434343434,0.9278787243825447
128.24242424242425,0.9221989657310465,130.27272727272725,0.8872002034895274,129.4848484848485,0.9474390233396311,129.4848484848485,0.9314712031412979
130.3131313131313,0.9195810672225286,132.39393939393938,0.8955070448348561,131.62626262626262,0.9528839225310717,131.62626262626262,0.9025931785685625
132.38383838383837,0.8995091521352997,134.5151515151515,0.9116659865884181,133.76767676767676,0.9586912644028358,133.76767676767676,0.8458065906001095
134.45454545454544,0.8659078548206087,136.63636363636363,0.9294425942136485,135.9090909090909,0.9585401120121205,135.9090909090909,0.7946772790230738
136.5252525252525,0.8450715384578957,138.75757575757575,0.9459104110384461,138.05050505050505,0.9552916209669833,138.05050505050505,0.7662530804466723
138.59595959595958,0.8306076170865099,140.87878787878788,0.9469669130449073,140.1919191919192,0.9495187641953908,140.1919191919192,0.733086393683099
140.66666666666666,0.8128226487905844,143.0,0.9353809445654826,142.33333333333334,0.932180830895193,142.33333333333334,0.662590164960067
142.73737373737373,0.7935345707896418,145.12121212121212,0.9199859285538949,144.4747474747475,0.9147946116952428,144.4747474747475,0.6123550226216045
144.8080808080808,0.77953502115033,147.24242424242425,0.888284480451239,146.6161616161616,0.8885896562791982,146.6161616161616,0.6126683101298755
146.87878787878788,0.7728744270208069,149.36363636363635,0.8584544848832186,148.75757575757575,0.8538727646098528,148.75757575757575,0.6351357061751285
148.94949494949495,0.7692538796914336,151.48484848484847,0.8469472344509931,150.8989898989899,0.8264028066095748,150.8989898989899,0.6590855646761301
151.020202020202,0.7644859799934585,153.6060606060606,0.8476076695589327,153.04040404040404,0.781887040902575,153.04040404040404,0.6770818911930604
