x,y
7.02335,0.29043
21.98616,0.11489
37.55969,0.27128
52.82785,0.28723
68.09602,0.29202
83.66954,0.28723
98.93771,0.29362
114.51126,0.34149
129.77942,0.34309
145.04759,0.38138
160.62111,0.46915
175.88928,0.61915
191.76816,0.69096
206.73097,0.7133
221.69377,0.6734
237.2673,0.57606
252.53546,0.53936
267.80365,0.44202
283.07182,0.38138
298.64532,0.32872
313.91349,0.30798
329.48703,0.3
344.7552,0.25053
